"Session ID","Session Title","Date","Time Start","Time End","Room/Location","Schedule Track (Optional)","Description (Optional)"
"13708179","C: New Developments","05/18/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","Session Chair: Jackie Isaacs<br>
<ul>
	<li>Computational Approach for Estimating Missing Life Cycle Inventory Data (Cai, Jiarui; Hou, Ping; Xu, Ming)</li>
	<li>Prospective environmental analyses of emerging technology (Cooper, Daniel Ross; Gutowski, Timothy)</li>
	<li>LCA to Guide Emerging QD-enabled Display Technology: Environmental Assessment of Cadmium and Indium Quantum Dots Used in Displays (Chopra, Shaurat S.; Theis, Thomas L.; Wender, Benjamin A.; Seager, Thomas P.)</li>
	<li>Designing CNT-enabled Non-invasive Glucose Biosensors to Avoid Disposal Exposures (Abbasi, Salman; Korkmaz, Adnan; Jeong, Hobin; Yilmaz, Cihan; Isaacs, Jacqueline; Busnaina, Ahmed)</li>
</ul>"
"13708148","A: Challenges to Business and Industry","05/18/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","Session Chair: Lise Laurin<br>
<ul>
	<li>Eastman's LCA Journey (Glaspie, Rebecca)</li>
	<li>The Challenges of Operationalizing Sustainable Return on Investment (Robinson, Wayne Terry)</li>
	<li>Privacy-preserving aggregation and certification in life cycle assessment (Kuczenski, Brandon; Sahin, Cetin; El Abbadi, Amr)</li>
	<li>Development and testing of a software tool to reduce print in enterprise settings (Ebner, Fritz; Kotler, Jennifer)</li>
</ul>"
"13798817","4Space:  Resiliency 1","05/17/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","Chair:  Susan Clark"
"13798708","Resilience Summit:  Resilience Discussion 1","05/16/2016","11:00AM","12:30PM","Phoenix Renaissance Downtown","",""
"13798701","Resilience Summit:  Resilience Simulation and Training Workshop","05/16/2016","09:30AM","11:00AM","Phoenix Renaissance Downtown","",""
"13798668","Resilience Summit:  Research Perspectives ‘Icebreaker’Activity","05/16/2016","08:00AM","09:30AM","Phoenix Renaissance Downtown","",""
"13645784","MCDA Workshop","05/16/2016","07:30AM","12:00PM","Phoenix Renaissance Downtown","","To be held Monday, May 16. 2016<br>
<br>
7:30 am to noon (with possible extension later in the week)<br>
<br>
In conjunction with the <a href=""http://issst2016.net/"">ISSST Conference</a><br>
<br>
Phoenix, Arizona<br>
<br>
<h2>Background</h2>
Assessing the sustainability of one solution or policy over another is rarely a simple issue. Alternatives are often better in one aspect of sustainability, human health or ecotoxicity for example, and worse in another. Seldom does a single alternative satisfy all stakeholders. To address this need, numerous Multi-Criteria Decision Analysis (MCDA) methodologies are being used to help industry, NGOs and governmental policy-makers assess the sustainability of decisions and policies. These methodologies appear to be converging around several concepts: stakeholder engagement and value-based assessment to name two. However, with so many different concepts being discussed in different terms by different organizations, there is no apparent consensus on methodology. This leaves organizations searching for a solution having to wade through the different methodologies before they can even start to apply them.<br>
<br>
<h2>Goal</h2>
The goal of this workshop is to bring these different methods into some kind of harmonization. By identifying what is common between the methods and naming them in the same way, we hope to make all of them more acceptable to government and industry decision makers.<br>
<br>
It may be that for different types of decisions, different MDCA methods are more appropriate. In addition to sharing best practices, we hope to identify the “must have” features of different types of analyses. While a long-term goal is to create a standard methodology, it will likely take a number of years before these evolving methodologies are ready for that step.<br>
<br>
<h2>Preliminary Agenda</h2>
<ul>
	<li>Introductions</li>
	<li>Introduction to some of what is happening now
	<ul>
		<li>Traditional MCDA techniques: MAUT, AHP, Outranking – Igor Linkov</li>
		<li>MCDA as performed by BASF – Markus Frank (tentative)</li>
		<li>Sustainable Return on Investment – John Parker</li>
		<li>Sustainability Return on Investment – Lise Laurin</li>
	</ul>
	</li>
	<li>Brainstorm</li>
	<li>What are the most important criteria for a successful methodology?</li>
	<li>What is common between these methods? Can we identify common ways to talk about these things?</li>
	<li>What areas still need work?</li>
	<li>How do we communicate this beyond today?</li>
</ul>"
"13708326","PV Summit: Talks, Responses, & Conclusion","05/18/2016","02:00PM","04:30PM","Phoenix Renaissance Downtown","","<ul>
	<li><span>QESST, and the role of engineering research centers in PV</span><span>environmental sustainability (Christiana Honsberg, ASU)</span></li>
	<li><span><a href=""https://awsum.box.com/shared/static/5a31c47bs01yvb8hvjxevfgd1msqnbcs.docx"">Crystalline Silicon PV Manufacturing, Metallization, and Environmental Sustainability</a> (Ian Cooper, SUNY)</span></li>
	<li><a href=""https://awsum.box.com/shared/static/322lnza5xux1q84bplsby6or2s458akp.docx"">Reducing the environmental impact of emerging PV technologies</a> (Annick Anctil, MSU)</li>
	<li><span><a href=""https://awsum.box.com/shared/static/aafops7q716diycyqiixnjsrz554o0m9.docx"">Recycling Wafer-Silicon Solar Modules for a Sustainable PV Industry</a> (Meng Tao, ASU)</span></li>
	<li>Conclusion (Dwarak Ravikumar, ASU)</li>
</ul>"
"13708318","4Space: Corporate Culture & Sustainable Business Practices","05/18/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","by Shirley-Ann Augustin-Behravesh"
"13708181","PV Summit: Research Talks","05/18/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","<ul>
	<li>Introduction of EV to reduce load variability of a campus with high PV penetration: Case Study for a large University Campus (Chetan J Rawal; Agami Reddy)</li>
	<li>Complementing increasing module efficiencies with manufacturing improvements: An environmental necessity for terawatt scale photovoltaic deployments (Dwarak Ravikumar; Ben Wender; Thomas Seager; Matthew Fraser; Meng Tao)</li>
	<li>Life Cycle Assessment of TiO2 Nanotube Solid-State Perovskite Solar Cells (Jingyi Zhang; Xianfeng Gao; Yelin Deng; Chris Yuan)</li>
	<li>Prospective environmental analyses of emerging technology (Daniel Ross Cooper; Timothy Gutowski)</li>
</ul>"
"13708180","4Space: ""AgBalance – My Virtual Farm”","05/18/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","by Markus Frank"
"13654165","4Space: Resiliency 2","05/17/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","",""
"13708146","Lunch & ISSST-SETAC-ACLCA Plenary Panel Discussion","05/17/2016","12:00PM","02:00PM","Phoenix Renaissance Downtown","","ISSST-SETAC-ACLCA Plenary Panel Discussion – Building an Innovation System for Advancing LCA A lunch-time plenary panel discussion on Tuesday, May 17th, will bring together leaders from the three primary organizations focusing on advancement of LCA in North America: the Sustainability Cognoscente, SETAC-North America, and the American Center for Life Cycle Assessment (ACLCA). LCA will play an increasingly important role as a tool to support decision-making processes to achieve environmental sustainability. In order to realize its full potential and accelerate its progress, connections and coordination from ideation to application must take place. Working together, the three organizations are building an innovation system for LCA that engages diverse audiences and stakeholders, and has mechanisms for sharing knowledge and feeding it back into the creative process. This session will provide attendees with a full-spectrum overview of what is happening in LCA and the opportunities to learn, engage and accelerate progress."
"13708323","Closing Keynote: Steve Schein","05/18/2016","12:00PM","02:00PM","Phoenix Renaissance Downtown","",""
"13708321","PV Summit: Introduction and Invited Speakers Talks","05/18/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","<ul>
	<li>Introduction (Dwarak Ravikumar, ASU)</li>
	<li><span><a href=""https://awsum.box.com/shared/static/ndsnr34y9kyqv9xfbhfh96ntr1ykii8t.docx"">Emerging Environmental Issues in Large‐Scale PV and Recycling</a> (Parikhit Sinha, First Solar)</span></li>
	<li><a href=""https://awsum.box.com/shared/static/mm8cgp652meltpsjc6vh3raeaeq2fk9r.docx"">PV: Mega-Trends and Sustainability</a> (Ryne Raffaelle, RIT)</li>
</ul>"
"13708177","B: Wind Power","05/18/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","Session Chair: Eric Williams<br>
<ul>
	<li>Resolving variability in learning rates for wind power (Williams, Eric; Williams, Ryan; Hittinger, Eric)</li>
	<li>The Application of Frequency Responsive Load Shedding to Facilitate High Penetration Rates of Wind Generated Electricity (Finn, Paddy; Fitzpatrick, Colin)</li>
	<li>Investment, viewshed, and emission abatement costs in offshore wind farm siting optimization (Chiang, Amy; Keoleian, Gregory; Moore, Michael; Johnson, Jeremiah)</li>
</ul>"
"13708147","Optional Off-Site Dinner Event","05/17/2016","06:00PM","09:00PM","","",""
"13645796","4Space : Play as a Vehicle for Innovation","05/16/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","","by Camilla Jensen"
"13654163","C: Clean Power Plan and GHG Mitigation","05/17/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","","Session Chair: Jeremiah Johnson<br>
<ul>
	<li>The Preservation of ""at-risk"" Nuclear Power Plants as a Greenhouse Gas Mitigation Tool (Roth, Michael Buchdahl)</li>
	<li>Meeting Clean Power Plan Targets at Least Cost: Roadmap for Michigan (Supekar, Sarang; Streicher, Jesse; Skerlos, Steven)</li>
	<li>Assessing the System-Wide Merits of Flexible Carbon Capture and Sequestration Power Plants in Complying with the Clean Power Plan (Craig, Michael T.; Jaramillo, Paulina; Zhai, Haibo; Klima, Kelly)</li>
</ul>"
"13654171","4Space: Engineering Ethics Education","05/17/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","by Matt Eckelman and Jaqueline Isaacs"
"13654160","A: Education in Sustainability Science and Engineering","05/17/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","","<ul>
	<li>A Case for Resilient Infrastructural Engineering Education (McBurnett, Lauren Rae; Adams, Elizabeth; Seager, Thomas P.)</li>
	<li>Rethinking Collaborative Science in the Knowledge Age: Implications for Leadership and Practice (Hinrichs, Margaret M.; Seager, Thomas P.; Tracy, Sarah J.; Hannah, Mark A.) </li>
	<li>Filling the Void of Engineering Leadership Management Skills in Higher Education of Sustainable Product Designers (Nelson, Claire; Rotter, Sandy)</li>
</ul>"
"13654157","4Space: LCA Careers within Industry","05/17/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","by Sebastian Flanagan<br>"
"13654155","C: Greenhouse Gas Emissions Assessment","05/17/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","Session Chair: Dan Cooper <br>
<ul>
	<li>Estimation of Global Corporate Carbon Emissions Using Statistical Methods (Matthews, H. Scott; Weber, Chris; van der Vlugt, Ian; Sawbridge, Hugh)</li>
	<li>A Proposed Alternative Measure for Climate Change Potential (DeGroff, F.)</li>
	<li>Assessment of the carbon footprint of the transport sector in mega cities via streamlined life cycle assessment: a case study of Shenzhen, South China (Duan, Huabo; Wang, Jiayuan; Hu, Mingwei)</li>
	<li>Life Cycle GHG Emissions Modelling of North American Refineries: Assessing the Role of Innovation and Uncertainty (Bergerson, Joule; Motazedi, Kavan; Guo, John)</li>
</ul>"
"13654152","A: Innovations in Methods","05/17/2016","10:30AM","12:00PM","Phoenix Renaissance Downtown","","Session Chair:  Brandon Kuczenski<br>
<ul>
	<li>Unknown pollution: Knowledge Gridlock of Environmental Research in the High-tech Sector (Tu, Wen-Ling)</li>
	<li>Uncertainty distributions in matrix-based LCA model – a new estimation method (Chen, Xiaoju; Griffin, W.Michael; Matthews, H. Scott)</li>
	<li>Sensitivity-based research prioritization through stochastic characterization modeling (Wender, Ben A; Prado, Valentina; Cano, Alex; Seager, Thomas)</li>
	<li>Striving for Standards in Sustainability (Parker, John C.; Williams, John F.)</li>
</ul>"
"13653969","C: Power Sector Efficiency and Reliability","05/17/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","Session Chair: Daniel Eisenberg<br>
<ul>
	<li>Agent-Based Modeling of the Adoption of High-efficiency Lighting in the Residential Sector (Cao, Jinjian; Choi, Chul Hun; Zhao, Fu)</li>
	<li>Examining the Life Cycle Impacts of Energy Storage for Power System Reserves (Lin, Yashen; Mathieu, Johanna L; Mitchell-Ward, Noah Innes; Johnson, Jeremiah X)</li>
	<li>Climate Change and Power Grid Reliability in the Desert Southwest (Burillo, Daniel; Chester, Mikhail; Ruddell, Ben)</li>
</ul>"
"13653968","B: Resilient Infrastructure","05/17/2016","08:30AM","10:00AM","Phoenix Renaissance Downtown","","Session Chair: Sybil Derrible<br>
<ul>
	<li>Improving Infrastructure Resilience to Extreme Events: Lessons from Katrina and Sandy (Marsden, Janet)</li>
	<li>Institutional Dimensions of Resilient Critical Infrastructure (Gim, Changdeok; Miller, Clark.A; Clark, Susan.Spierre; Kennedy, Eric.B)</li>
	<li>When does resilience pay? Mitigating hurricane damage to buildings (Miller, Travis Reed; Kirchain, Randolph; Gregory, Jeremy)</li>
	<li>Vulnerability of Urban Water Systems to Climate Change and Mitigating the Potential for Cascading Failures (Bondank, Emily; Chester, Mikhail; Ruddell, Benjamin)</li>
</ul>"
"13645804","Poster Session","05/16/2016","06:00PM","08:00PM","Phoenix Renaissance Downtown","",""
"13645802","4Space: Harnessing Paradox to Accelerate Leadership","05/16/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","by Gina Paigen"
"13645800","C: Power Systems","05/16/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","Session Chair: Mike Chester
<ul>
	<li>Impacts of climate change on electric transmission capacity and peak electricity load in the United States (Chester, Mikhail; Bartos, Matthew; Johnson, Nathan; Gorman, Brandon; Eisenberg, Daniel)</li>
	<li>Cost-Effectiveness of Power Plant Cooling System Retrofits As A Climate Adaptation Strategy: The Case of Texas (Loew, Aviva; Jaramillo, Paulina; Zhai, Haibo)</li>
	<li>Comparative Assessment &amp; Decision Support Algorithm to aid in Method Selection for Calculating Grid Electricity Emissions (Ryan, Nicole; Keoleian, Gregory; Johnson, Jeremiah)</li>
</ul>"
"13645798","B: Resiliency","05/16/2016","04:00PM","05:30PM","Phoenix Renaissance Downtown","","Session Chair: Thomas P. Seager<br>
<ul>
	<li>A Capabilities Approach to Resilience (Clark, Susan Spierre; Seager, Thomas P.)</li>
	<li>Risk and Resilience: Similarities and Difference (Linkov, Igor; Fox-Lent, Cate)</li>
	<li>Towards A Resilient Control System Design (Farjadian, Amir; Annaswamy, Anuradha; Woods, David)</li>
	<li>A Conceptual Framework of Critical Infrastructure Resilience; Integrating People and Systems (Thomas, John E.; Eisenberg, Daniel; Seager, Thomas P.)</li>
</ul>"
"13645790","C: Vehicles, Biofuels, Agriculture","05/16/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","","Session Chair: Steve Skerlos<br>
<ul>
	<li>What drives life cycle electric vehicle emissions: the influence of space, time, and technology (Kendall, Alissa; Ambrose, Hanjiro; Archsmith, James; Rapson, David)</li>
	<li>Environmental Benefits of Individually Optimized Electric Vehicle Battery Range (Xiao, Shi; Pan, Jian; Cai, Hua)</li>
	<li>Vehicle to Grid regulation services of electric delivery trucks: Economic and environmental benefit analysis (Zhao, Yang; Noori, Mehdi; Tatari, Omer)</li>
</ul>"
"13645789","B: Resource Scarcity, Criticality and Recycling","05/16/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","","Session Chair: Andrea Hicks<br>
<ul>
	<li>Materials flow analysis of tantalum: a critical material with conflict-free sourcing (Achebe, Jessica; Young, Steven B)</li>
	<li>Scarce Resource-dependence of the European Electricity Production Scenarios until 2050 (Kucukvar, Murat; Onat, Nuri C; Erdogan, Demet)</li>
	<li>Rare earth recycling potentials from NdFeB magnet material (Schulze, Rita; Matthias, Buchert)</li>
	<li>Optimal Foraging Strategy: a Decision Tool for Recyclers  (Ryen, Erinn G.; Babbitt, Callie; Gaustad, Gabrielle)</li>
</ul>"
"13645788","A: Decision-Making for Resilient Infrastructure","05/16/2016","02:00PM","03:30PM","Phoenix Renaissance Downtown","","Session Chair: Susan Clark<br>
<ul>
	<li>Connectivity and Resilience: How Social Connections Shield Victims from Disaster (Aldrich, Daniel)</li>
	<li>Incorporating Resilience into Green Buildings: Analysis of the LEED Rating System (Champagne, Cassandra Lyn; Aktas, Can B.)</li>
	<li>Bridging sociotechnical networks for critical infrastructure resilience: South Korean Case Study (Eisenberg, Daniel Alexander; Park, Jeryang; Kim, Donghwan; Seager, Thomas Payson)</li>
	<li>Offsetting Climate Change-Related Increases in Residential Energy Demand through Energy Efficiency Policies (Reyna, Janet Lorel; Chester, Mikhail V)</li>
</ul>"
"13645786","Opening Keynote: Gary Dirks","05/16/2016","01:00PM","02:00PM","Phoenix Renaissance Downtown","",""
